,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0,,,,,8.0,3.0,2.0,1.0,9.0,7.0,5.0,4.0,47.0,13.0,53.0,59.0,6.0,,,,14.0,10.0,60.0,28.0,44.0,55.0,,,,19.0,15.0,41.0,63.0,,18.0,,61.0,22.0,,30.0,49.0,35.0,16.0,,58.0,57.0,48.0,51.0,54.0,12.0,,,62.0,25.0,24.0,36.0,52.0,23.0,,37.0,50.0,33.0,20.0
1,0.0,1.0,7.0,5.0,,2.0,4.0,,8.0,6.0,,3.0,,57.0,9.0,,,33.0,62.0,41.0,13.0,,,50.0,,54.0,59.0,55.0,56.0,10.0,15.0,14.0,37.0,58.0,,11.0,31.0,22.0,,16.0,,44.0,24.0,12.0,,,42.0,63.0,61.0,48.0,,,36.0,60.0,17.0,21.0,53.0,35.0,23.0,20.0,,39.0,45.0,32.0
2,0.0,1.0,8.0,,,3.0,5.0,,6.0,,,4.0,,,11.0,37.0,31.0,47.0,58.0,,14.0,2.0,9.0,,22.0,55.0,60.0,,62.0,7.0,16.0,20.0,27.0,63.0,59.0,10.0,,,17.0,,25.0,,15.0,,,,33.0,39.0,30.0,43.0,12.0,,53.0,57.0,19.0,21.0,51.0,18.0,46.0,24.0,52.0,40.0,34.0,32.0
3,0.0,1.0,,6.0,,2.0,,,5.0,8.0,7.0,3.0,4.0,47.0,11.0,,50.0,35.0,58.0,59.0,10.0,18.0,,44.0,25.0,,52.0,,61.0,12.0,14.0,13.0,,60.0,56.0,,31.0,57.0,19.0,22.0,17.0,,24.0,,63.0,48.0,38.0,33.0,40.0,,9.0,,42.0,53.0,20.0,16.0,49.0,51.0,26.0,,62.0,41.0,54.0,43.0
4,0.0,,,7.0,3.0,2.0,1.0,,6.0,10.0,8.0,,4.0,57.0,13.0,,,25.0,52.0,,,,9.0,43.0,21.0,45.0,54.0,50.0,49.0,12.0,,15.0,39.0,51.0,42.0,16.0,,63.0,,18.0,,53.0,,,59.0,41.0,62.0,,60.0,,11.0,,38.0,56.0,17.0,19.0,35.0,22.0,24.0,26.0,33.0,30.0,40.0,55.0
5,0.0,1.0,,8.0,4.0,,,2.0,,7.0,6.0,5.0,3.0,43.0,15.0,47.0,63.0,,52.0,40.0,,,,44.0,24.0,58.0,48.0,61.0,60.0,9.0,17.0,13.0,,,,,34.0,,14.0,16.0,,,22.0,,26.0,,59.0,30.0,51.0,41.0,11.0,10.0,56.0,57.0,21.0,20.0,45.0,50.0,28.0,19.0,,35.0,55.0,46.0
6,0.0,1.0,8.0,6.0,3.0,,4.0,2.0,,,,5.0,,57.0,12.0,33.0,62.0,9.0,61.0,,15.0,22.0,14.0,49.0,,63.0,,51.0,,13.0,25.0,7.0,,,53.0,21.0,31.0,60.0,26.0,,23.0,48.0,28.0,19.0,39.0,54.0,37.0,,47.0,41.0,10.0,,,59.0,17.0,24.0,58.0,52.0,38.0,18.0,36.0,29.0,44.0,50.0
7,0.0,1.0,,6.0,,2.0,3.0,,4.0,,7.0,5.0,,55.0,10.0,26.0,62.0,,,,16.0,,8.0,56.0,,,61.0,48.0,63.0,9.0,21.0,13.0,35.0,,,17.0,,54.0,19.0,20.0,22.0,,,18.0,29.0,46.0,31.0,47.0,36.0,40.0,12.0,,50.0,60.0,24.0,11.0,49.0,59.0,42.0,14.0,38.0,45.0,58.0,41.0
8,0.0,1.0,7.0,6.0,,,4.0,2.0,5.0,9.0,12.0,3.0,,,,27.0,36.0,,58.0,,,16.0,,54.0,,60.0,62.0,53.0,59.0,10.0,18.0,19.0,,,,15.0,,,,17.0,13.0,33.0,24.0,,,61.0,38.0,49.0,,56.0,11.0,8.0,46.0,52.0,14.0,21.0,48.0,39.0,51.0,31.0,32.0,42.0,35.0,43.0
9,0.0,1.0,8.0,,6.0,2.0,4.0,,3.0,,10.0,,,50.0,12.0,,63.0,14.0,61.0,51.0,15.0,17.0,,62.0,,58.0,,,5.0,18.0,,,36.0,,7.0,16.0,26.0,47.0,21.0,35.0,23.0,34.0,28.0,38.0,32.0,43.0,45.0,56.0,30.0,53.0,9.0,,59.0,57.0,,20.0,60.0,49.0,37.0,19.0,27.0,52.0,33.0,55.0
10,0.0,1.0,,,6.0,2.0,,,4.0,9.0,7.0,,3.0,48.0,11.0,25.0,60.0,35.0,59.0,37.0,10.0,17.0,8.0,53.0,21.0,,,,,5.0,13.0,14.0,30.0,61.0,57.0,15.0,,42.0,23.0,16.0,26.0,,18.0,19.0,,54.0,47.0,39.0,,50.0,12.0,,,62.0,34.0,29.0,49.0,38.0,20.0,36.0,,40.0,44.0,43.0
