,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,0.0,15.0,1.0,17.0,13.0,,16.0,18.0,10.0,3.0,14.0,4.0,,5.0,9.0,8.0,,6.0
1,18.0,0.0,15.0,1.0,16.0,,,,,,2.0,17.0,9.0,14.0,7.0,,5.0,3.0,11.0
2,18.0,0.0,15.0,1.0,16.0,,,,,13.0,4.0,14.0,7.0,17.0,6.0,11.0,5.0,12.0,10.0
3,,0.0,16.0,1.0,18.0,10.0,4.0,17.0,,,3.0,12.0,6.0,,5.0,,8.0,14.0,13.0
4,,0.0,17.0,1.0,18.0,12.0,4.0,16.0,,14.0,3.0,15.0,10.0,,6.0,8.0,7.0,13.0,
5,,0.0,,3.0,17.0,10.0,,15.0,18.0,13.0,7.0,14.0,,16.0,4.0,8.0,2.0,11.0,9.0
6,18.0,0.0,14.0,1.0,17.0,,,16.0,,12.0,4.0,15.0,11.0,,7.0,3.0,10.0,13.0,9.0
7,17.0,4.0,,1.0,,,,18.0,,,2.0,16.0,9.0,13.0,3.0,6.0,5.0,15.0,11.0
8,,0.0,,1.0,17.0,,,18.0,16.0,8.0,,14.0,10.0,13.0,3.0,6.0,9.0,,11.0
9,18.0,0.0,,1.0,17.0,,8.0,16.0,,11.0,3.0,15.0,,,4.0,,6.0,2.0,12.0
10,18.0,0.0,,1.0,,,4.0,17.0,,13.0,3.0,15.0,10.0,14.0,,6.0,16.0,12.0,7.0
