,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,56.0,57.0,55.0,,,53.0,,,,54.0,0.0,48.0,,11.0,47.0,52.0,,,,,51.0,,,,40.0,,2.0,20.0,,16.0,7.0,,44.0,12.0,43.0,,49.0,23.0,27.0,32.0,,34.0,35.0,,21.0,5.0,36.0,33.0,13.0,8.0,50.0,19.0,3.0,37.0,45.0,46.0,26.0,39.0
1,56.0,57.0,55.0,,,54.0,,,52.0,,0.0,53.0,,26.0,15.0,41.0,,,,12.0,37.0,20.0,,,36.0,49.0,50.0,,13.0,8.0,3.0,,51.0,,,10.0,,43.0,9.0,44.0,6.0,,38.0,17.0,25.0,18.0,,23.0,22.0,2.0,14.0,7.0,33.0,1.0,35.0,42.0,45.0,46.0
2,57.0,48.0,55.0,,,56.0,11.0,34.0,49.0,,0.0,,,41.0,,54.0,51.0,,,10.0,32.0,,53.0,,,6.0,,,27.0,44.0,8.0,13.0,5.0,,30.0,38.0,46.0,12.0,9.0,52.0,23.0,19.0,,3.0,39.0,,47.0,,14.0,37.0,21.0,50.0,29.0,2.0,22.0,45.0,28.0,1.0
3,,57.0,56.0,53.0,,,27.0,,,54.0,0.0,48.0,39.0,10.0,,55.0,50.0,,,52.0,14.0,,49.0,41.0,,44.0,47.0,,8.0,,24.0,,18.0,,37.0,33.0,3.0,15.0,16.0,35.0,5.0,32.0,36.0,1.0,11.0,,12.0,17.0,26.0,29.0,51.0,7.0,13.0,,28.0,9.0,42.0,38.0
4,55.0,56.0,,,54.0,53.0,57.0,,,,0.0,49.0,,,41.0,52.0,40.0,,,,,46.0,44.0,50.0,,29.0,,47.0,36.0,,25.0,13.0,48.0,43.0,38.0,17.0,23.0,,18.0,42.0,3.0,37.0,28.0,5.0,26.0,,,16.0,19.0,20.0,,12.0,15.0,9.0,8.0,1.0,2.0,10.0
5,55.0,56.0,54.0,53.0,,,57.0,49.0,,,0.0,10.0,,52.0,40.0,,46.0,47.0,50.0,,39.0,,44.0,,14.0,51.0,12.0,48.0,,33.0,2.0,22.0,,43.0,,5.0,,11.0,15.0,,,37.0,36.0,1.0,,,7.0,13.0,18.0,41.0,20.0,3.0,6.0,28.0,27.0,38.0,24.0,9.0
6,55.0,56.0,54.0,53.0,,,57.0,,,35.0,1.0,5.0,,,,52.0,43.0,46.0,7.0,,38.0,,33.0,51.0,11.0,34.0,40.0,45.0,36.0,,,4.0,50.0,42.0,32.0,,17.0,29.0,22.0,49.0,25.0,26.0,21.0,0.0,23.0,,9.0,8.0,2.0,48.0,18.0,,19.0,37.0,31.0,,27.0,28.0
7,56.0,57.0,55.0,54.0,,,,,46.0,31.0,0.0,15.0,40.0,42.0,7.0,,52.0,,53.0,18.0,12.0,47.0,16.0,,37.0,,49.0,45.0,41.0,13.0,4.0,14.0,,51.0,,,50.0,,8.0,20.0,,48.0,38.0,1.0,,2.0,,19.0,28.0,25.0,3.0,29.0,11.0,10.0,26.0,43.0,34.0,44.0
8,,56.0,55.0,,,54.0,57.0,,44.0,19.0,0.0,,47.0,,,,,48.0,22.0,12.0,30.0,,17.0,53.0,,42.0,40.0,51.0,43.0,38.0,,14.0,,50.0,25.0,,27.0,18.0,5.0,49.0,39.0,36.0,28.0,4.0,35.0,52.0,,26.0,16.0,2.0,1.0,21.0,13.0,,,41.0,8.0,11.0
9,55.0,56.0,,53.0,54.0,,57.0,51.0,37.0,,0.0,49.0,,52.0,39.0,34.0,,41.0,4.0,33.0,11.0,44.0,43.0,,12.0,35.0,38.0,,10.0,,7.0,5.0,,42.0,24.0,17.0,,,8.0,46.0,15.0,25.0,28.0,9.0,16.0,40.0,13.0,,,45.0,22.0,36.0,48.0,20.0,31.0,32.0,21.0,23.0
10,55.0,56.0,,,54.0,53.0,57.0,50.0,37.0,,2.0,,,52.0,44.0,,41.0,43.0,51.0,,36.0,46.0,47.0,,24.0,22.0,,42.0,34.0,49.0,3.0,8.0,,48.0,30.0,4.0,6.0,13.0,21.0,38.0,,31.0,29.0,1.0,20.0,39.0,12.0,0.0,25.0,,15.0,45.0,26.0,,33.0,5.0,11.0,28.0
