Kin,0,0.01,"[36.23, 40.77, 40.07, 38.33, 37.95, 44.21, 38.99, 41.68, 38.94]",39.69
Kin,0,0.1,"[35.46, 39.51, 40.99, 40.89, 37.12, 43.1, 39.18, 41.91, 41.71]",39.99
Kin,0,0.25,"[35.19, 40.2, 40.74, 40.29, 35.46, 42.72, 39.04, 40.9, 40.76]",39.48
Kin,0,0.5,"[35.87, 39.44, 39.62, 40.29, 37.38, 42.2, 38.59, 40.44, 40.99]",39.42
Kin,0,0.75,"[34.59, 39.89, 40.12, 39.55, 35.2, 42.72, 37.85, 40.9, 41.62]",39.16
Kin,0,1,"[35.87, 39.89, 40.49, 40.29, 35.46, 42.82, 37.85, 41.18, 40.37]",39.36
Kin,0,1.25,"[34.4, 39.89, 40.49, 40.29, 35.1, 43.1, 38.59, 40.9, 40.7]",39.27
Kin,0,1.5,"[35.6, 39.44, 40.02, 39.23, 34.12, 42.82, 38.59, 41.18, 40.7]",39.08
Kin,0.25,0.01,"[38.69, 38.7, 39.6, 42.93, 47.6, 42.23, 39.9, 41.72, 42.54]",41.55
Kin,0.25,0.1,"[37.5, 39.28, 40.22, 40.24, 37.98, 43.34, 38.83, 43.36, 39.47]",40.02
Kin,0.25,0.25,"[36.14, 39.85, 39.99, 40.06, 36.42, 43.08, 38.83, 42.26, 40.37]",39.67
Kin,0.25,0.5,"[35.41, 40.05, 39.67, 39.86, 35.2, 43.2, 38.94, 41.43, 40.99]",39.42
Kin,0.25,0.75,"[36.53, 39.51, 39.77, 40.51, 36.42, 43.19, 39.14, 41.43, 40.37]",39.65
Kin,0.25,1,"[35.19, 39.51, 40.02, 40.18, 35.46, 42.16, 39.04, 41.61, 40.7]",39.32
Kin,0.25,1.25,"[35.74, 39.89, 40.12, 39.72, 37.03, 42.15, 39.04, 41.89, 40.7]",39.59
Kin,0.25,1.5,"[35.52, 39.82, 39.87, 40.46, 37.73, 42.47, 39.04, 41.18, 41.32]",39.71
Kin,0.5,0.01,"[40.39, 41.02, 36.1, 42.87, 44.51, 43.4, 32.5, 41.19, 40.0]",40.22
Kin,0.5,0.1,"[38.75, 39.48, 39.5, 39.26, 38.69, 43.63, 39.62, 42.43, 37.11]",39.83
Kin,0.5,0.25,"[37.27, 39.89, 39.5, 40.29, 35.93, 42.69, 38.83, 41.88, 40.47]",39.64
Kin,0.5,0.5,"[36.47, 40.46, 39.49, 39.78, 37.48, 42.08, 38.64, 42.16, 40.99]",39.73
Kin,0.5,0.75,"[36.47, 39.78, 40.04, 39.86, 36.07, 42.9, 38.94, 41.78, 40.99]",39.65
Kin,0.5,1,"[35.74, 39.82, 40.15, 39.13, 36.07, 42.51, 38.75, 41.34, 41.32]",39.43
Kin,0.5,1.25,"[35.46, 39.51, 38.87, 39.86, 37.03, 43.54, 38.3, 41.43, 41.32]",39.48
Kin,0.5,1.5,"[35.14, 39.89, 40.87, 39.53, 35.1, 42.54, 39.04, 41.43, 40.7]",39.36
Kin,0.75,0.01,"[39.6, 37.51, 38.42, 40.99, 39.59, 37.37, 42.26, 35.3, 40.62]",39.07
Kin,0.75,0.1,"[38.15, 39.18, 40.06, 39.99, 37.79, 44.8, 41.0, 42.05, 38.07]",40.12
Kin,0.75,0.25,"[38.16, 39.28, 40.02, 40.24, 37.02, 42.72, 38.47, 43.36, 39.79]",39.9
Kin,0.75,0.5,"[37.87, 39.89, 40.75, 39.89, 38.18, 42.46, 38.94, 41.43, 40.7]",40.01
Kin,0.75,0.75,"[36.88, 40.46, 39.89, 39.46, 36.52, 42.77, 39.04, 42.26, 40.95]",39.8
Kin,0.75,1,"[36.88, 40.16, 39.66, 40.18, 37.73, 42.51, 38.75, 42.26, 40.37]",39.83
Kin,0.75,1.25,"[36.8, 40.16, 38.79, 39.86, 37.12, 41.83, 39.04, 41.43, 40.95]",39.55
Kin,0.75,1.5,"[36.47, 39.89, 39.76, 40.78, 37.12, 42.3, 37.94, 41.71, 40.7]",39.63
Kin,1,0.01,"[37.66, 37.56, 40.36, 36.32, 41.23, 22.85, 36.63, 44.05, 37.83]",37.17
Kin,1,0.1,"[38.08, 39.66, 40.74, 39.96, 39.22, 45.28, 42.24, 43.78, 38.27]",40.8
Kin,1,0.25,"[37.08, 38.87, 40.56, 38.83, 39.51, 42.52, 39.3, 42.72, 38.18]",39.73
Kin,1,0.5,"[36.58, 39.89, 38.92, 40.29, 37.12, 42.78, 38.94, 41.52, 40.11]",39.57
Kin,1,0.75,"[36.14, 39.89, 39.92, 39.67, 37.03, 43.36, 38.54, 42.26, 40.0]",39.65
Kin,1,1,"[36.8, 40.16, 39.37, 40.06, 37.12, 42.46, 38.94, 41.43, 40.95]",39.7
Kin,1,1.25,"[36.8, 40.16, 39.32, 40.24, 36.51, 42.23, 38.83, 42.16, 41.32]",39.73
Kin,1,1.5,"[36.8, 40.43, 39.32, 39.86, 36.33, 42.52, 38.57, 41.43, 40.37]",39.51
